especie,nome_comum,status_2014,status_2026,is_cr,proba_extincao,bioma_amazonia,bioma_mata_atlantica,bioma_cerrado,bioma_caatinga,bioma_pampa,bioma_pantanal,bioma_sistema_costeiro_marinho,regiao_norte,regiao_nordeste,regiao_sudeste,regiao_sul,regiao_centro_oeste,is_endemica,is_migratoria,tendencia_declinando,ameaca_expansao_urbana,ameaca_agropecuaria,ameaca_energia_mineracao,ameaca_transporte,ameaca_uso_recursos,ameaca_perturbacao_humana,ameaca_modificacoes_sistema,ameaca_invasoras,ameaca_poluicao,ameaca_mudancas_climaticas,risco_inicial_2014
Onychorhynchus swainsoni,maria-leque-do-sudeste,VU,VU,0,0.20803971592465498,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1.0
Synallaxis hellmayri,joão-chique-chique,NE,LC,0,0.20747342570645802,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0.0
Crypturellus zabele,zabelê,VU,VU,0,0.20678388846983045,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1.0
Alectrurus tricolor,galito,VU,VU,0,0.20561353084665587,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1.0
Cichlocolaptes mazarbarnetti,"gritador-do-nordeste, trepador-do-nordeste",EX,EX,0,0.20526086252136422,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0
Thamnophilus aethiops,choca-lisa,NE,EN,0,0.20411346009263417,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
Dacnis nigripes,saí-de-pernas-pretas,NE,LC,0,0.20377381363806113,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0.0
Laterallus xenopterus,sanã-se-cara-ruiva,EN,EN,0,0.19618848703726988,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,2.0
Nothura minor,codorna-mineira,EN,EN,0,0.19564304485147369,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,2.0
Charitospiza eucosma,mineirinho,NE,LC,0,0.19277174236117273,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0.0
Knipolegus franciscanus,maria-preta-do-nordeste,VU,VU,0,0.19160807362096616,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1.0
Icterus jamacaii,"concris, concriz, corrupião, recongo, sofrê, sofreu, xofreu",NE,LC,0,0.1883551767843035,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0.0
Phylloscartes eximius,barbudinho,NE,LC,0,0.18835374097590274,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.0
Dendrocincla taunayi,arapaçu-pardo-do-nordeste,EN,EN,0,0.184856098706095,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2.0
Taoniscus nanus,"codorna-carapé, inhambu-carapé",EN,EN,0,0.18293580845348464,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,2.0
Herpsilochmus pectoralis,chorozinho-de-papo-preto,NE,LC,0,0.18237913177300263,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0.0
Phoebetria fusca,piau-preto,NE,,0,0.18210256559844867,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0.0
Scytalopus iraiensis,macuquinho-da-várzea,EN,EN,0,0.18188665850635477,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,2.0
Bulweria bulwerii,alma-negra,NE,LC,0,0.1780169894693368,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0.0
Lipaugus conditus,saudade-de-asa-cinza,VU,VU,0,0.1770945179342218,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1.0
Xiphocolaptes falcirostris,arapaçu-do-nordeste,VU,VU,0,0.17451356803488596,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1.0
Drymophila rubricollis,trovoada-de-bertoni,NE,LC,0,0.17303376392662678,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.0
Hydrobates leucorhous,painho-de-cauda-furcada,NE,LC,0,0.17246489765022083,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
Anopetia gounellei,rabo-branco-de-cauda-larga,NE,LC,0,0.17238957548468012,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0.0
Pyrrhura pfrimeri,tiriba-de-pfrimer,EN,EN,0,0.17226683151295585,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,2.0
Augastes scutatus,beija-flor-de-gravata-verde,NE,LC,0,0.16942156363514366,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.0
Amazona vinacea,papagaio-de-peito-roxo,VU,VU,0,0.16868221150150287,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1.0
Macronectes giganteus,petrel-grande,NE,LC,0,0.1682730352287291,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0.0
Rhopias gularis,choquinha-de-garganta-pintada,NE,LC,0,0.16672334691801327,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
Biatas nigropectus,papo-branco,NE,NT,0,0.16501860717600164,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.0
Campylopterus calcirupicola,asa-de-sabre-da-mata-seca,EN,VU,0,0.16385525849040095,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,2.0
Colibri delphinae,beija-flor-marrom,NE,VU,0,0.16264603626642593,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0.0
Formicivora iheringi,formigueiro-do-nordeste,NE,VU,0,0.15757975594637508,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0.0
Megaxenops parnaguae,bico-virado-da-caatinga,NE,NT,0,0.15757975594637508,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0.0
Pachyptila belcheri,faigão-de-bico-fino,NE,LC,0,0.15500077841293733,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0.0
Pterodroma madeira,grazina-da-madeira,EN,EN,0,0.15345626406110802,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,2.0
Platalea leucorodia,colhereiro-europeu,NE,,0,0.1533630902329135,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.0
Anabacerthia amaurotis,limpa-folha-miúdo,NE,LC,0,0.15305212951109806,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.0
Aburria jacutinga,jacutinga,EN,EN,0,0.15170873527940315,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,2.0
Stilpnia peruviana,saíra-sapucaia,NE,NT,0,0.1516996835586312,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0.0
Phylloscartes difficilis,estalinho,NE,LC,0,0.14787060385156878,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
Paragallinula angulata,galinha-d'água-pequena,NE,,0,0.14785391852477306,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0.0
Heteronetta atricapilla,marreca-de-cabeça-preta,NE,LC,0,0.14706377222149566,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0.0
Heteroxolmis dominicanus,noivinha-de-rabo-preto,NE,VU,0,0.14656797632433138,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0.0
Podiceps occipitalis,mergulhão-de-orelha-amarela,NE,,0,0.14651190564417163,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0.0
Oxyura vittata,marreca-rabo-de-espinho,NE,,0,0.14564635254865063,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0.0
Hemitriccus obsoletus,catraca,NE,LC,0,0.1444179211479849,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
Celeus galeatus,pica-pau-de-cara-canela,EN,EN,0,0.14436263834768825,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2.0
Thalassarche chrysostoma,albatroz-de-cabeça-cinza,NE,,0,0.14304213522433873,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0.0
Formicivora melanogaster,formigueiro-de-barriga-preta,NE,LC,0,0.14234931656513128,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0.0
Hypoedaleus guttatus,chocão-carijó,NE,LC,0,0.14078455970811501,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0
Sclerurus scansor,vira-folha,NE,LC,0,0.14078455970811501,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0
Macronectes halli,petrel-grande-do-norte,NE,LC,0,0.1350720944606356,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0.0
